policy,S,M,N,F,i,u0,C1,C2,stage,feasible,message,p30,max_delay_ms,mean_delay_ms,unreachable_rate,reachable_count,sample_count,robustness_margin
strict_Tmax30,1620,60,27,10,51.0,0.0,0.99999,0.983042,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,60,27,10,51.0,10.0,0.999985,0.982924,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,60,27,10,51.0,3.333,0.999981,0.982905,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,23,49.75,0.0,1.0,0.980854,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,23,49.75,5.0,1.0,0.98071,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,23,49.75,10.0,1.0,0.980638,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,23,49.75,15.0,1.0,0.980479,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,23,50.25,15.0,1.0,0.980124,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,23,50.25,5.0,1.0,0.980028,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,23,50.25,10.0,1.0,0.979915,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,23,50.25,0.0,1.0,0.979892,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,18,51.0,4.0,0.99908,0.978059,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,18,51.0,0.0,0.999085,0.978023,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,18,51.0,6.0,0.999051,0.977972,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,18,51.0,2.0,0.999075,0.97785,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,35,50.0,2.0,0.999144,0.974333,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,35,50.0,4.0,0.999129,0.974214,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,35,50.0,0.0,0.999115,0.974129,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,35,50.0,6.0,0.99911,0.974116,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,34,50.25,0.0,1.0,0.993529,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,34,50.25,4.39,1.0,0.993524,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,34,49.75,4.39,1.0,0.993489,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,32,50.25,6.585,0.999957,0.993481,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,34,50.25,6.585,0.999995,0.993439,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1640,40,41,34,49.75,0.0,1.0,0.993436,delay_lower_bound_reject,,,,,,,,,
