t_s,u,v,load_gbps
53100.0,980,1018,0.09090909090909088
53100.0,1212,1250,0.07575757575757575
53100.0,1250,1288,0.07575757575757575
54000.0,785,786,0.12121212121212116
54000.0,746,747,0.10606060606060602
54000.0,784,785,0.10606060606060602
54000.0,1200,1239,0.10606060606060602
54000.0,745,746,0.09090909090909088
54000.0,783,784,0.09090909090909088
54000.0,1200,1201,0.09090909090909088
54000.0,1201,1202,0.09090909090909088
54000.0,1206,1244,0.09090909090909088
54000.0,1168,1206,0.09090909090909088
54900.0,1278,1316,0.1818181818181817
54900.0,1316,1354,0.1818181818181817
54900.0,1275,1276,0.15151515151515144
54900.0,1392,1430,0.15151515151515144
54900.0,1430,1468,0.15151515151515144
54900.0,17,1468,0.15151515151515144
54900.0,1200,1278,0.15151515151515144
54900.0,1162,1200,0.15151515151515144
54900.0,1354,1392,0.1363636363636363
54900.0,1271,1272,0.12121212121212116
55800.0,812,813,0.15151515151515144
55800.0,1265,1266,0.1363636363636363
55800.0,1266,1267,0.12121212121212116
55800.0,1267,1268,0.12121212121212116
55800.0,811,812,0.12121212121212116
55800.0,810,811,0.10606060606060602
55800.0,1268,1269,0.09090909090909088
55800.0,1269,1270,0.09090909090909088
55800.0,1270,1271,0.09090909090909088
55800.0,1079,1117,0.09090909090909088
56700.0,806,807,0.12121212121212116
56700.0,1263,1264,0.12121212121212116
56700.0,767,768,0.10606060606060602
56700.0,1259,1260,0.10606060606060602
56700.0,1074,1112,0.10606060606060602
56700.0,1036,1074,0.10606060606060602
56700.0,998,1036,0.10606060606060602
56700.0,920,998,0.10606060606060602
56700.0,765,766,0.09090909090909088
56700.0,766,767,0.09090909090909088
57600.0,1292,1293,0.1363636363636363
57600.0,1295,1296,0.1363636363636363
57600.0,1293,1294,0.12121212121212116
57600.0,1296,1297,0.12121212121212116
57600.0,1294,1295,0.10606060606060602
57600.0,1297,1298,0.09090909090909088
57600.0,1298,1336,0.09090909090909088
57600.0,1336,1374,0.09090909090909088
57600.0,800,801,0.09090909090909088
57600.0,1067,1105,0.09090909090909088
58500.0,872,873,0.15151515151515144
58500.0,833,834,0.10606060606060602
58500.0,871,872,0.10606060606060602
58500.0,832,833,0.09090909090909088
58500.0,870,871,0.09090909090909088
58500.0,1286,1287,0.09090909090909088
58500.0,1287,1288,0.09090909090909088
58500.0,946,984,0.09090909090909088
58500.0,984,1022,0.09090909090909088
58500.0,1022,1060,0.09090909090909088
